CHANNEL,INPUT [mV]
965,574.833
966,575.429
967,576.024
968,576.619
969,577.214
970,577.81
971,578.405
972,579.0
973,579.595
974,580.19
975,580.786
976,581.381
977,581.976
978,582.571
979,583.166
980,583.762
981,584.357
982,584.952
983,585.547
984,586.142
985,586.738
986,587.333
987,587.928
988,588.523
989,589.118
990,589.714
991,590.309
992,590.904
993,591.499
994,592.094
995,592.69
996,593.285
997,593.88
998,594.475
999,595.071
1000,595.666
1001,596.261
1002,596.856
1003,597.451
1004,598.047
1005,598.642
1006,599.237
1007,599.832
1008,600.503
1009,601.203
1010,601.903
1011,602.604
1012,603.304
1013,604.004
1014,604.704
1015,605.405
1016,606.105
1017,606.805
1018,607.506
1019,608.206
1020,608.906
1021,609.606
1022,610.307
1023,611.007
1024,611.707
1025,612.407
1026,613.108
1027,613.808
1028,614.508
1029,615.209
1030,615.909
1031,616.609
1032,617.309
1033,618.01
1034,618.71
1035,619.41
1036,620.11
1037,620.811
1038,621.511
1039,622.211
1040,622.912
1041,623.612
1042,624.312
1043,625.012
1044,625.713
1045,626.413
1046,627.113
1047,627.813
1048,628.514
1049,629.214
1050,629.914
1051,630.614
1052,631.315
1053,632.015
1054,632.715
1055,633.416
1056,634.116
1057,634.816
1058,635.516
1059,636.217
1060,636.917
1061,637.617
1062,638.317
1063,639.018
1064,639.718
1065,640.418
1066,641.119
1067,641.819
1068,642.519
1069,643.219
1070,643.92
1071,644.62
1072,645.32
1073,646.02
1074,646.721
1075,647.421
1076,648.121
1077,648.822
1078,649.522
1079,650.191
1080,650.794
1081,651.397
1082,652.0
1083,652.603
1084,653.206
1085,653.809
1086,654.412
1087,655.015
1088,655.618
1089,656.221
1090,656.824
1091,657.426
1092,658.029
1093,658.632
1094,659.235
1095,659.838
1096,660.441
1097,661.044
1098,661.647
1099,662.25
1100,662.853
1101,663.456
1102,664.059
1103,664.662
1104,665.265
1105,665.868
1106,666.471
1107,667.073
1108,667.676
1109,668.279
1110,668.882
1111,669.485
1112,670.088
1113,670.691
1114,671.294
1115,671.897
1116,672.5
1117,673.103
1118,673.706
1119,674.309
1120,674.912
1121,675.515
1122,676.118
1123,676.72
1124,677.323
1125,677.926
1126,678.529
1127,679.132
1128,679.735
1129,680.338
1130,680.941
1131,681.544
1132,682.147
1133,682.75
1134,683.353
1135,683.956
1136,684.559
1137,685.162
1138,685.765
1139,686.367
1140,686.97
1141,687.573
1142,688.176
1143,688.779
1144,689.382
1145,689.985
1146,690.588
1147,691.191
1148,691.794
1149,692.397
1150,693.0
1151,693.603
1152,694.206
1153,694.809
1154,695.412
1155,696.014
1156,696.617
1157,697.22
1158,697.823
1159,698.426
1160,699.029
1161,699.632
1162,700.234
1163,700.835
1164,701.436
1165,702.037
1166,702.638
1167,703.239
1168,703.84
1169,704.441
1170,705.042
1171,705.643
1172,706.244
1173,706.845
1174,707.446
1175,708.047
1176,708.648
1177,709.249
1178,709.85
1179,710.451
1180,711.052
1181,711.653
1182,712.254
1183,712.855
1184,713.456
1185,714.057
1186,714.658
1187,715.259
1188,715.859
1189,716.46
1190,717.061
1191,717.662
1192,718.263
1193,718.864
1194,719.465
1195,720.066
