CHANNEL,INPUT [mV]
1268,178.393
1269,178.534
1270,178.675
1271,178.816
1272,178.957
1273,179.098
1274,179.239
1275,179.38
1276,179.521
1277,179.662
1278,179.802
1279,179.943
1280,180.084
1281,180.225
1282,180.365
1283,180.506
1284,180.647
1285,180.788
1286,180.928
1287,181.069
1288,181.21
1289,181.35
1290,181.491
1291,181.632
1292,181.772
1293,181.913
1294,182.054
1295,182.194
1296,182.335
1297,182.476
1298,182.617
1299,182.757
1300,182.898
1301,183.039
1302,183.179
1303,183.32
1304,183.461
1305,183.601
1306,183.742
1307,183.883
1308,184.023
1309,184.164
1310,184.305
1311,184.445
1312,184.586
1313,184.727
1314,184.868
1315,185.008
1316,185.149
1317,185.29
1318,185.43
1319,185.571
1320,185.712
1321,185.852
1322,185.993
1323,186.134
1324,186.274
1325,186.415
1326,186.556
1327,186.696
1328,186.837
1329,186.978
1330,187.119
1331,187.259
1332,187.4
1333,187.541
1334,187.681
1335,187.822
1336,187.963
1337,188.103
1338,188.244
1339,188.385
1340,188.525
1341,188.666
1342,188.807
1343,188.947
1344,189.088
1345,189.229
1346,189.37
1347,189.51
1348,189.651
1349,189.792
1350,189.932
1351,190.073
1352,190.214
1353,190.354
1354,190.495
1355,190.635
1356,190.776
1357,190.916
1358,191.057
1359,191.198
1360,191.338
1361,191.479
1362,191.619
1363,191.76
1364,191.901
1365,192.041
1366,192.182
1367,192.322
1368,192.463
1369,192.604
1370,192.744
1371,192.885
1372,193.025
1373,193.166
1374,193.307
1375,193.447
1376,193.588
1377,193.728
1378,193.869
1379,194.01
1380,194.15
1381,194.291
1382,194.431
1383,194.572
1384,194.713
1385,194.853
1386,194.994
1387,195.134
1388,195.275
1389,195.415
1390,195.556
1391,195.697
1392,195.837
1393,195.978
1394,196.118
1395,196.259
1396,196.4
1397,196.54
1398,196.681
1399,196.821
1400,196.962
1401,197.103
1402,197.243
1403,197.384
1404,197.524
1405,197.665
1406,197.806
1407,197.946
1408,198.087
1409,198.227
1410,198.368
1411,198.509
1412,198.649
1413,198.79
1414,198.93
1415,199.071
1416,199.212
1417,199.352
1418,199.493
1419,199.633
1420,199.774
1421,199.915
1422,200.055
1423,200.196
1424,200.337
1425,200.477
1426,200.618
1427,200.759
1428,200.9
1429,201.04
1430,201.181
1431,201.322
1432,201.462
1433,201.603
1434,201.744
1435,201.885
1436,202.025
1437,202.166
1438,202.307
1439,202.448
1440,202.588
1441,202.729
1442,202.87
1443,203.011
1444,203.151
1445,203.292
1446,203.433
1447,203.573
1448,203.714
1449,203.855
1450,203.996
1451,204.136
1452,204.277
1453,204.418
1454,204.559
1455,204.699
1456,204.84
1457,204.981
1458,205.122
1459,205.262
1460,205.403
1461,205.544
1462,205.684
1463,205.825
1464,205.966
1465,206.107
1466,206.247
1467,206.388
1468,206.529
1469,206.67
1470,206.81
1471,206.951
1472,207.092
1473,207.233
1474,207.373
1475,207.514
1476,207.655
1477,207.795
1478,207.936
1479,208.077
1480,208.218
1481,208.358
1482,208.499
1483,208.64
1484,208.781
1485,208.921
1486,209.062
1487,209.203
1488,209.344
1489,209.484
1490,209.625
1491,209.766
1492,209.906
1493,210.047
1494,210.189
1495,210.33
1496,210.471
1497,210.613
1498,210.754
1499,210.895
1500,211.036
1501,211.178
1502,211.319
1503,211.46
1504,211.602
1505,211.743
1506,211.884
1507,212.025
1508,212.167
1509,212.308
1510,212.449
1511,212.591
1512,212.732
1513,212.873
1514,213.014
1515,213.156
1516,213.297
1517,213.438
1518,213.58
1519,213.721
1520,213.862
1521,214.004
1522,214.145
1523,214.286
1524,214.427
1525,214.569
1526,214.71
1527,214.851
1528,214.993
1529,215.134
1530,215.275
1531,215.416
1532,215.558
1533,215.699
1534,215.84
1535,215.982
1536,216.123
1537,216.264
1538,216.405
1539,216.547
1540,216.688
1541,216.829
1542,216.971
1543,217.112
1544,217.253
1545,217.394
1546,217.536
1547,217.677
1548,217.818
1549,217.96
1550,218.101
1551,218.242
1552,218.384
1553,218.525
1554,218.666
1555,218.807
1556,218.949
1557,219.09
1558,219.231
1559,219.373
1560,219.514
1561,219.655
1562,219.796
1563,219.938
1564,220.079
1565,220.219
1566,220.36
1567,220.5
1568,220.641
1569,220.781
1570,220.922
1571,221.062
1572,221.203
1573,221.344
1574,221.484
1575,221.625
1576,221.765
1577,221.906
1578,222.046
1579,222.187
1580,222.327
1581,222.468
1582,222.609
1583,222.749
1584,222.89
1585,223.03
1586,223.171
1587,223.311
1588,223.452
1589,223.592
1590,223.733
1591,223.874
1592,224.014
1593,224.155
1594,224.295
1595,224.436
1596,224.576
1597,224.717
1598,224.857
1599,224.998
1600,225.139
1601,225.279
1602,225.42
1603,225.56
1604,225.701
1605,225.841
1606,225.982
1607,226.122
1608,226.263
1609,226.404
1610,226.544
1611,226.685
1612,226.825
1613,226.966
1614,227.106
1615,227.247
1616,227.387
1617,227.528
1618,227.668
1619,227.809
1620,227.95
1621,228.09
1622,228.231
1623,228.371
1624,228.512
1625,228.652
1626,228.793
1627,228.933
1628,229.074
1629,229.215
1630,229.355
1631,229.496
1632,229.636
1633,229.777
1634,229.917
1635,230.058
1636,230.199
1637,230.34
1638,230.481
1639,230.622
1640,230.764
1641,230.905
1642,231.046
1643,231.187
1644,231.328
1645,231.469
1646,231.61
1647,231.751
1648,231.892
1649,232.033
1650,232.174
1651,232.315
1652,232.456
1653,232.598
1654,232.739
1655,232.88
1656,233.021
1657,233.162
1658,233.303
1659,233.444
1660,233.585
1661,233.726
1662,233.867
1663,234.008
1664,234.149
1665,234.291
1666,234.432
1667,234.573
1668,234.714
1669,234.855
1670,234.996
1671,235.137
1672,235.278
1673,235.419
1674,235.56
1675,235.701
1676,235.842
1677,235.983
1678,236.125
1679,236.266
1680,236.407
1681,236.548
1682,236.689
1683,236.83
1684,236.971
1685,237.112
1686,237.253
1687,237.394
1688,237.535
1689,237.676
1690,237.818
1691,237.959
1692,238.1
1693,238.241
1694,238.382
1695,238.523
1696,238.664
1697,238.805
1698,238.946
1699,239.087
1700,239.228
1701,239.369
1702,239.51
1703,239.652
1704,239.793
1705,239.934
1706,240.074
1707,240.215
1708,240.355
1709,240.495
1710,240.635
1711,240.776
1712,240.916
1713,241.056
1714,241.197
1715,241.337
1716,241.477
1717,241.617
1718,241.758
1719,241.898
1720,242.038
1721,242.178
1722,242.319
1723,242.459
1724,242.599
1725,242.74
1726,242.88
1727,243.02
1728,243.16
1729,243.301
1730,243.441
1731,243.581
1732,243.721
1733,243.862
1734,244.002
1735,244.142
1736,244.283
1737,244.423
1738,244.563
1739,244.703
1740,244.844
1741,244.984
1742,245.124
1743,245.264
1744,245.405
1745,245.545
1746,245.685
1747,245.825
1748,245.966
1749,246.106
1750,246.246
1751,246.387
1752,246.527
1753,246.667
1754,246.807
1755,246.948
1756,247.088
1757,247.228
1758,247.368
1759,247.509
1760,247.649
1761,247.789
1762,247.93
1763,248.07
1764,248.21
1765,248.35
1766,248.491
1767,248.631
1768,248.771
1769,248.911
1770,249.052
1771,249.192
1772,249.332
1773,249.473
1774,249.613
1775,249.753
1776,249.893
1777,250.034
1778,250.174
1779,250.314
1780,250.454
1781,250.595
1782,250.735
1783,250.875
1784,251.016
1785,251.156
1786,251.296
1787,251.436
1788,251.577
1789,251.717
1790,251.857
1791,251.997
1792,252.138
1793,252.278
1794,252.418
1795,252.559
1796,252.699
1797,252.839
1798,252.979
1799,253.12
1800,253.26
1801,253.4
1802,253.54
1803,253.681
1804,253.821
1805,253.961
1806,254.102
1807,254.242
1808,254.382
1809,254.522
1810,254.663
1811,254.803
1812,254.943
1813,255.083
1814,255.224
1815,255.364
1816,255.504
1817,255.645
1818,255.785
1819,255.925
1820,256.065
1821,256.206
1822,256.346
1823,256.486
1824,256.626
1825,256.767
1826,256.907
1827,257.047
1828,257.187
1829,257.328
1830,257.468
1831,257.608
1832,257.749
1833,257.889
1834,258.029
1835,258.169
1836,258.31
1837,258.45
1838,258.59
1839,258.73
1840,258.871
1841,259.011
1842,259.151
1843,259.292
1844,259.432
1845,259.572
1846,259.712
1847,259.853
1848,259.993
1849,260.133
1850,260.273
1851,260.414
1852,260.554
1853,260.694
1854,260.835
1855,260.975
1856,261.115
1857,261.255
1858,261.396
1859,261.536
1860,261.676
1861,261.816
1862,261.957
1863,262.097
1864,262.237
1865,262.378
1866,262.518
1867,262.658
1868,262.798
1869,262.939
1870,263.079
1871,263.219
1872,263.359
1873,263.5
1874,263.64
1875,263.78
1876,263.921
1877,264.061
1878,264.201
1879,264.341
1880,264.482
1881,264.622
1882,264.762
1883,264.902
1884,265.043
1885,265.183
1886,265.323
1887,265.464
1888,265.604
1889,265.744
1890,265.884
1891,266.025
1892,266.165
1893,266.305
1894,266.445
1895,266.586
1896,266.726
1897,266.866
1898,267.007
1899,267.147
1900,267.287
1901,267.427
1902,267.568
1903,267.708
1904,267.848
1905,267.988
1906,268.129
1907,268.269
1908,268.409
1909,268.549
1910,268.69
1911,268.83
1912,268.97
1913,269.111
1914,269.251
1915,269.391
1916,269.531
1917,269.672
1918,269.812
1919,269.952
1920,270.092
1921,270.233
1922,270.373
1923,270.513
1924,270.654
1925,270.794
1926,270.934
1927,271.074
1928,271.215
1929,271.355
1930,271.495
1931,271.635
1932,271.776
1933,271.916
1934,272.056
1935,272.197
1936,272.337
1937,272.477
1938,272.617
1939,272.758
1940,272.898
1941,273.038
1942,273.178
1943,273.319
1944,273.459
1945,273.599
1946,273.74
1947,273.88
1948,274.02
1949,274.16
1950,274.301
1951,274.441
1952,274.581
1953,274.721
1954,274.862
1955,275.002
1956,275.142
1957,275.283
1958,275.423
1959,275.563
1960,275.703
1961,275.844
1962,275.984
1963,276.124
1964,276.264
1965,276.405
1966,276.545
1967,276.685
1968,276.826
1969,276.966
1970,277.106
1971,277.246
1972,277.387
1973,277.527
1974,277.667
1975,277.807
1976,277.948
1977,278.088
1978,278.228
1979,278.369
1980,278.509
1981,278.649
1982,278.789
1983,278.93
1984,279.07
1985,279.21
1986,279.35
1987,279.491
1988,279.631
1989,279.771
1990,279.911
1991,280.052
1992,280.192
1993,280.332
1994,280.473
1995,280.613
1996,280.753
1997,280.893
1998,281.034
1999,281.174
2000,281.314
2001,281.454
2002,281.595
2003,281.735
2004,281.875
2005,282.016
2006,282.156
2007,282.296
2008,282.436
2009,282.577
2010,282.717
2011,282.857
2012,282.997
2013,283.138
2014,283.278
2015,283.418
2016,283.559
2017,283.699
2018,283.839
2019,283.979
2020,284.12
2021,284.26
2022,284.4
2023,284.54
2024,284.681
2025,284.821
2026,284.961
2027,285.102
2028,285.242
2029,285.382
2030,285.522
2031,285.663
2032,285.803
2033,285.943
2034,286.083
2035,286.224
2036,286.364
2037,286.504
2038,286.645
2039,286.785
2040,286.925
2041,287.065
2042,287.206
2043,287.346
2044,287.486
2045,287.626
2046,287.767
2047,287.907
2048,288.047
2049,288.188
2050,288.328
2051,288.468
2052,288.608
2053,288.749
2054,288.889
2055,289.029
2056,289.169
2057,289.31
2058,289.45
2059,289.59
2060,289.731
2061,289.871
2062,290.011
2063,290.151
2064,290.292
2065,290.432
2066,290.572
2067,290.712
2068,290.853
2069,290.993
2070,291.133
2071,291.273
2072,291.414
2073,291.554
2074,291.694
2075,291.835
2076,291.975
2077,292.115
2078,292.255
2079,292.396
2080,292.536
2081,292.676
2082,292.816
2083,292.957
2084,293.097
2085,293.237
2086,293.378
2087,293.518
2088,293.658
2089,293.798
2090,293.939
2091,294.079
2092,294.219
2093,294.359
2094,294.5
2095,294.64
2096,294.78
2097,294.921
2098,295.061
2099,295.201
2100,295.341
2101,295.482
2102,295.622
2103,295.762
2104,295.902
2105,296.043
2106,296.183
2107,296.323
2108,296.464
2109,296.604
2110,296.744
2111,296.884
2112,297.025
2113,297.165
2114,297.305
2115,297.445
2116,297.586
2117,297.726
2118,297.866
2119,298.007
2120,298.147
2121,298.287
2122,298.427
2123,298.568
2124,298.708
2125,298.848
2126,298.988
2127,299.129
2128,299.269
2129,299.409
2130,299.55
2131,299.69
2132,299.83
2133,299.97
2134,300.111
2135,300.251
