CHANNEL,INPUT [mV]
766,898.817
767,899.997
768,901.169
769,902.341
770,903.513
771,904.686
772,905.858
773,907.03
774,908.202
775,909.375
776,910.547
777,911.719
778,912.891
779,914.064
780,915.236
781,916.408
782,917.58
783,918.753
784,919.925
785,921.097
786,922.269
787,923.442
788,924.614
789,925.786
790,926.958
791,928.131
792,929.303
793,930.475
794,931.647
795,932.82
796,933.992
797,935.164
798,936.336
799,937.509
800,938.681
801,939.853
802,941.025
803,942.198
804,943.37
805,944.542
806,945.714
807,946.886
808,948.059
809,949.231
810,950.403
811,951.575
812,952.748
813,953.92
814,955.092
815,956.264
816,957.437
817,958.609
818,959.781
819,960.953
820,962.126
821,963.298
822,964.47
823,965.642
824,966.815
825,967.987
826,969.159
827,970.331
828,971.504
829,972.676
830,973.848
831,975.02
832,976.193
833,977.365
834,978.537
835,979.709
836,980.882
837,982.054
838,983.226
839,984.398
840,985.571
841,986.743
842,987.915
843,989.087
844,990.26
845,991.432
846,992.604
847,993.776
848,994.949
849,996.121
850,997.293
851,998.465
852,999.638
853,1000.81
854,1001.982
855,1003.154
856,1004.327
857,1005.499
858,1006.671
859,1007.843
860,1009.016
861,1010.188
862,1011.36
863,1012.532
864,1013.705
865,1014.877
866,1016.049
867,1017.222
868,1018.394
869,1019.566
870,1020.738
871,1021.911
872,1023.083
873,1024.255
874,1025.427
875,1026.6
876,1027.772
877,1028.944
878,1030.116
879,1031.289
880,1032.461
881,1033.633
882,1034.805
883,1035.978
884,1037.15
885,1038.322
886,1039.494
887,1040.667
888,1041.839
889,1043.011
890,1044.184
891,1045.356
892,1046.528
893,1047.7
894,1048.873
895,1050.045
896,1051.217
897,1052.389
898,1053.562
899,1054.734
900,1055.906
901,1057.078
902,1058.251
903,1059.423
904,1060.595
905,1061.767
906,1062.94
907,1064.112
908,1065.284
909,1066.456
910,1067.629
911,1068.801
912,1069.973
913,1071.145
914,1072.318
915,1073.49
916,1074.662
917,1075.835
918,1077.007
919,1078.179
920,1079.351
921,1080.524
922,1081.696
923,1082.868
924,1084.04
925,1085.213
926,1086.385
927,1087.557
928,1088.729
929,1089.902
930,1091.074
931,1092.246
932,1093.418
933,1094.591
934,1095.763
935,1096.935
936,1098.107
937,1099.28
938,1100.455
939,1101.635
940,1102.815
941,1103.994
942,1105.174
943,1106.354
944,1107.534
945,1108.714
946,1109.894
947,1111.073
948,1112.253
949,1113.433
950,1114.613
951,1115.793
952,1116.973
953,1118.152
954,1119.332
955,1120.512
956,1121.692
957,1122.872
958,1124.052
959,1125.231
960,1126.411
961,1127.591
962,1128.771
963,1129.951
964,1131.131
965,1132.31
966,1133.49
967,1134.67
968,1135.85
969,1137.03
970,1138.21
971,1139.389
972,1140.569
973,1141.749
974,1142.929
975,1144.109
976,1145.289
977,1146.468
978,1147.648
979,1148.828
980,1150.008
981,1151.188
982,1152.368
983,1153.547
984,1154.727
985,1155.907
986,1157.087
987,1158.267
988,1159.447
989,1160.626
990,1161.806
991,1162.986
992,1164.166
993,1165.346
994,1166.526
995,1167.705
996,1168.885
997,1170.065
998,1171.245
999,1172.425
1000,1173.605
1001,1174.784
1002,1175.964
1003,1177.144
1004,1178.324
1005,1179.504
1006,1180.684
1007,1181.863
1008,1183.043
1009,1184.223
1010,1185.403
1011,1186.583
1012,1187.763
1013,1188.942
1014,1190.122
1015,1191.302
1016,1192.482
1017,1193.662
1018,1194.842
1019,1196.022
1020,1197.201
1021,1198.381
1022,1199.561
1023,1200.741
1024,1201.92
1025,1203.099
