CHANNEL,INPUT [mV]
1240,328.586
1241,328.852
1242,329.117
1243,329.383
1244,329.648
1245,329.914
1246,330.179
1247,330.445
1248,330.71
1249,330.975
1250,331.241
1251,331.506
1252,331.772
1253,332.037
1254,332.303
1255,332.568
1256,332.833
1257,333.099
1258,333.364
1259,333.63
1260,333.895
1261,334.161
1262,334.426
1263,334.692
1264,334.957
1265,335.222
1266,335.488
1267,335.753
1268,336.019
1269,336.284
1270,336.55
1271,336.815
1272,337.08
1273,337.346
1274,337.611
1275,337.877
1276,338.142
1277,338.408
1278,338.673
1279,338.938
1280,339.204
1281,339.469
1282,339.735
1283,340.0
1284,340.266
1285,340.531
1286,340.797
1287,341.062
1288,341.327
1289,341.593
1290,341.858
1291,342.124
1292,342.389
1293,342.655
1294,342.92
1295,343.185
1296,343.451
1297,343.716
1298,343.982
1299,344.247
1300,344.513
1301,344.778
1302,345.044
1303,345.309
1304,345.574
1305,345.84
1306,346.105
1307,346.371
1308,346.636
1309,346.902
1310,347.167
1311,347.432
1312,347.698
1313,347.963
1314,348.229
1315,348.494
1316,348.76
1317,349.025
1318,349.29
1319,349.556
1320,349.821
1321,350.087
1322,350.352
1323,350.618
1324,350.883
1325,351.149
1326,351.414
1327,351.679
1328,351.945
1329,352.21
1330,352.476
1331,352.741
1332,353.007
1333,353.272
1334,353.537
1335,353.803
1336,354.068
1337,354.334
1338,354.599
1339,354.865
1340,355.13
1341,355.396
1342,355.661
1343,355.926
1344,356.192
1345,356.457
1346,356.723
1347,356.988
1348,357.254
1349,357.519
1350,357.784
1351,358.05
1352,358.315
1353,358.581
1354,358.846
1355,359.112
1356,359.377
1357,359.642
1358,359.908
1359,360.173
1360,360.439
1361,360.704
1362,360.97
1363,361.235
1364,361.501
1365,361.766
1366,362.031
1367,362.297
1368,362.562
1369,362.828
1370,363.093
1371,363.359
1372,363.624
1373,363.889
1374,364.155
1375,364.42
1376,364.686
1377,364.951
1378,365.217
1379,365.482
1380,365.747
1381,366.013
1382,366.278
1383,366.544
1384,366.809
1385,367.075
1386,367.34
1387,367.606
1388,367.871
1389,368.136
1390,368.402
1391,368.667
1392,368.933
1393,369.198
1394,369.464
1395,369.729
1396,369.994
1397,370.26
1398,370.525
1399,370.791
1400,371.056
1401,371.322
1402,371.587
1403,371.853
1404,372.118
1405,372.383
1406,372.649
1407,372.914
1408,373.18
1409,373.445
1410,373.711
1411,373.976
1412,374.241
1413,374.507
1414,374.772
1415,375.038
1416,375.303
1417,375.569
1418,375.834
1419,376.099
1420,376.365
1421,376.63
1422,376.896
1423,377.161
1424,377.427
1425,377.692
1426,377.958
1427,378.223
1428,378.488
1429,378.754
1430,379.019
1431,379.285
1432,379.55
1433,379.816
1434,380.081
1435,380.346
1436,380.612
1437,380.877
1438,381.143
1439,381.408
1440,381.674
1441,381.939
1442,382.205
1443,382.47
1444,382.735
1445,383.001
1446,383.266
1447,383.532
1448,383.797
1449,384.063
1450,384.328
1451,384.593
1452,384.859
1453,385.124
1454,385.39
1455,385.655
1456,385.921
1457,386.186
1458,386.451
1459,386.717
1460,386.982
1461,387.248
1462,387.513
1463,387.779
1464,388.044
1465,388.31
1466,388.575
1467,388.84
1468,389.106
1469,389.371
1470,389.637
1471,389.902
1472,390.168
1473,390.433
1474,390.698
1475,390.964
1476,391.229
1477,391.495
1478,391.76
1479,392.026
1480,392.291
1481,392.557
1482,392.822
1483,393.087
1484,393.353
1485,393.618
1486,393.884
1487,394.149
1488,394.415
1489,394.68
1490,394.945
1491,395.211
1492,395.476
1493,395.742
1494,396.007
1495,396.273
1496,396.538
1497,396.803
1498,397.069
1499,397.334
1500,397.6
1501,397.865
1502,398.131
1503,398.396
1504,398.662
1505,398.927
1506,399.192
1507,399.458
1508,399.723
1509,399.989
1510,400.255
1511,400.52
1512,400.786
1513,401.052
1514,401.318
1515,401.584
1516,401.85
1517,402.115
1518,402.381
1519,402.647
1520,402.913
1521,403.179
1522,403.444
1523,403.71
